ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12521010,12521010,"Biaya Perencanaan Fisik (sederhana), Nilai Pekerjaan 2,9 M",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1419010.0-1,"Azita Abadi, CV",142741560,106553950.27,IDR,2024-01-15,2024-02-16,open,services,complete
ocds-20h3g7-12522010,12522010,Bangunan Khusus (PEMBANGUNAN KELENGKAPAN RUMAH POMPA KALIDAMI SCREW),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2626010.0-1,"MARGA PERKASA,CV",9699586982,9495636237,IDR,2024-01-18,2024-02-05,open,works,complete
ocds-20h3g7-12523010,12523010,"Pembangunan Saluran U-Ditch 200/200 dengan Cover, Gandar 20 ton (JL. DUKUH KUPANG BARAT 1)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,3390015.0-1,PT. PUNDI KENCANA MAKMUR,5260519511,4308120333,IDR,2024-01-29,2024-02-16,open,works,complete
ocds-20h3g7-12525010,12525010,Bangunan Bertingkat 3 Lantai Keatas (SMP NEGERI 21),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,9709015.0-1,CV.KALINDO,4994813000,3995850400,IDR,2024-01-29,2024-02-15,open,works,complete
ocds-20h3g7-12526010,12526010,Bangunan Bertingkat 3 Lantai Keatas (SDN KALIJUDAN I),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,57472.0-1,CV Bukit Barisan,2615528000,2121816640.42,IDR,2024-01-29,2024-02-16,open,works,complete
ocds-20h3g7-12528010,12528010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M Jalan (Paket 1)",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2956042.0-1,PRIMASETIA ENG CON,425799108,341075250,IDR,2024-01-29,2024-03-07,open,services,complete
ocds-20h3g7-12529010,12529010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Pompa) - Paket EE1",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1152010.0-1,CV. Intishar Karya,426121996,389338050,IDR,2024-01-29,2024-03-07,open,services,complete
ocds-20h3g7-12530010,12530010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Pompa) - Paket EE2",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2956042.0-1,PRIMASETIA ENG CON,426121996,341747910,IDR,2024-01-29,2024-03-07,open,services,complete
ocds-20h3g7-12566010,12566010,"Biaya Manajemen Konstruksi (Tidak Sederhana), Nilai Pekerjaan 25 M (Paket 1)",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,10668015.0-1,PT. Bhakti Persada,776771118,699522777,IDR,2024-02-06,2024-03-15,open,services,complete
ocds-20h3g7-12567010,12567010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 20 M (Paket 1)",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,386116.0-1,PT. TATA CIPTA UTAMA,538363930.5,456493050,IDR,2024-02-06,2024-03-20,open,services,complete
ocds-20h3g7-12581010,12581010,"Biaya Perencanaan Fisik (Sederhana), Nilai Pekerjaan 3,6 M",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4815010.0-1,CV. IDEA KARYA NUSA,171196632,144939138,IDR,2024-02-23,2024-04-02,open,services,complete
ocds-20h3g7-12588010,12588010,Bangunan Bertingkat 2 Lantai (SDN KEDURUS III),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2525010.0-1,CV.PILAR LANGIT,2112655000,1690123000,IDR,2024-02-28,2024-03-19,open,works,complete
ocds-20h3g7-12589010,12589010,Bangunan Bertingkat 3 Lantai Keatas (SMP NEGERI 31),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8190009.0-1,PT. JAVA COSMIC PERKASA,2882856000,2290576722.22,IDR,2024-02-21,2024-03-15,open,works,complete
ocds-20h3g7-12591010,12591010,Bangunan Tidak Bertingkat (RUMAH POTONG HEWAN (RPH) KANDANG SAPI - LANJUTAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2415010.0-1,PT. LANGGENG DUA ANUGERAH,15000000000,13194972667.53,IDR,2024-02-29,2024-03-21,open,works,complete
ocds-20h3g7-12596010,12596010,Bangunan Bertingkat 3 Lantai Keatas (SMP NEGERI 62),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5262010.0-1,CV. CITRA MANDIRI SURYA,2996780000,2337171324.19,IDR,2024-02-29,2024-03-19,open,works,complete
ocds-20h3g7-12597010,12597010,Manajemen Konstruksi Pembangunan Terowongan Pejalan Kaki Terminal Intermoda Joyoboyo - Kebun Binatang Surabaya,Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1493111.0-1,PT. SIGMA REKATAMA CONSULINDO,909737252.1,758296500,IDR,2024-02-15,2024-03-15,open,services,complete
ocds-20h3g7-12600010,12600010,Rehabilitasi Bangunan RSUD Bhakti Dharma Husada,Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1680015.0-1,PT.JAYA ETIKA TEKNIK,15686600000,15533720831,IDR,2024-02-26,2024-03-28,open,works,complete
ocds-20h3g7-12601010,12601010,Pembangunan Jalan Rigid Pavement Type 1 (JL. DUPAK SISI SELATAN - TEMBAAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5154010.0-1,PT. LIMAN JAYA TRANS MIX,19627693000,18719095932,IDR,2024-02-26,2024-03-22,open,works,complete
ocds-20h3g7-12602010,12602010,Bangunan Tidak Bertingkat (KOMANDO RESOR MILITER 084/BHASKARA JAYA - TAHAP 2),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,33634009.0-1,CV. DWI KARYA CEMERLANG,2576134000,2060907200,IDR,2024-02-26,2024-03-20,open,works,complete
ocds-20h3g7-12603010,12603010,Pembangunan Jalan Flexible Pavement Kolektor (JL. KEDUNG BARUK - KALIRUNGKUT),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,12448015.0-1,"PT,JAYA ETIKA BETON",15012906000,13075250727.14,IDR,2024-02-22,2024-03-14,open,works,complete
