ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12668010,12668010,Bangunan Bertingkat 2 Lantai (GEDUNG DIKLAT PRIGEN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,18006009.0-1,CV. SURAWANGI BERKAH,1908583000,1475745403.41,IDR,2024-03-18,2024-04-03,open,works,complete
ocds-20h3g7-12674010,12674010,Biaya Manajemen Konstruksi (PENGEMBANGAN KAWASAN WISATA PANTAI KENJERAN),Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5055010.0-1,PT. MITRA CIPTA ENGINEERING,532052082,467495370,IDR,2024-03-15,2024-04-26,open,services,complete
ocds-20h3g7-12675010,12675010,Bangunan Bertingkat 2 Lantai (KANTOR BPKAD JL. DUKUH KUPANG XXVII NO.4),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1911010.0-1,CV.WAHYU NUGROHO,2499349000,1971702252.81,IDR,2024-03-21,2024-04-05,open,works,complete
ocds-20h3g7-12683010,12683010,Bangunan Bertingkat 3 Lantai Keatas (SDN ASEMROWO),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,878010.0-1,CV. LOKA JAYA,2627035000,2184219286.74,IDR,2024-04-18,2024-05-08,open,works,complete
ocds-20h3g7-12685010,12685010,Bangunan Bertingkat 3 Lantai Keatas (SDN SULUNG),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,709054.0-1,CV. Hadiward,2606793000,2085434400,IDR,2024-04-19,2024-05-08,open,works,complete
ocds-20h3g7-12686010,12686010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 24 M Jalan (Paket 1)",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,11558015.0-1,PT.ARJUNA JAYA KONSULTAN,616889937,493848990,IDR,2024-04-02,2024-05-22,open,services,complete
ocds-20h3g7-12689010,12689010,Pembangunan Saluran Top-Bottom 200/200 Gandar 20 ton (DIVERSI BABAT JERAWAT),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4716010.0-1,PT. DIATASA JAYA MANDIRI,44985012471,44352346321.22,IDR,2024-04-05,2024-04-30,open,works,complete
ocds-20h3g7-12702010,12702010,Bangunan Bertingkat 2 Lantai (SDN PACAR KEMBANG I),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1307010.0-1,PT. Mustika Persada Indah,3522410000,2712255700,IDR,2024-04-17,2024-05-08,open,works,complete
ocds-20h3g7-12703010,12703010,Bangunan Tidak Bertingkat (GEDUNG SERBAGUNA LONTAR),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5849010.0-1,CV. X-PRESI DESIGN II,2951455000,2354942552.78,IDR,2024-04-26,2024-05-14,open,works,complete
ocds-20h3g7-12704010,12704010,Pembangunan Terowongan Pejalan Kaki Terminal Intermoda Joyoboyo - Kebun Binatang Surabaya,Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1680015.0-1,PT.JAYA ETIKA TEKNIK,32455033794.75,31996921529.44,IDR,2024-04-16,2024-05-16,open,works,complete
ocds-20h3g7-12705010,12705010,Manajemen Pengelolaan Pengembangan Layanan Buy The Service Di Kota Surabaya,Jasa Konsultansi Badan Usaha Non Konstruksi,D181,Pemerintah Daerah Kota Surabaya,138126.0-1,PT. SURVEYOR INDONESIA (PERSERO),2332014990,2307463560,IDR,2024-04-16,2024-05-22,open,services,complete
ocds-20h3g7-12715010,12715010,Pembangunan TPS 3R Tambakwedi,Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,140111.0-1,JATI JAYA,4482467079,3933326976.75,IDR,2024-05-15,2024-06-14,open,works,complete
ocds-20h3g7-12723010,12723010,Pembangunan TPS 3R Sumberejo,Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1911010.0-1,CV.WAHYU NUGROHO,4850656127,3955497767.1,IDR,2024-05-15,2024-06-06,open,works,complete
ocds-20h3g7-12724010,12724010,Kajian Lalu Lintas 2,Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1280010.0-1,PT. Kreasi Imaji Konsultan,200159013.6,174475350,IDR,2024-05-07,2024-06-21,open,services,complete
ocds-20h3g7-12725010,12725010,Pembangunan Saluran U-Ditch 150/150 dengan Cover Gandar 10 ton (MULYOSARI SISI TIMUR),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1852010.0-1,CV. DANI NIKI SEJAHTERA INDONESIA,12419443622,10059749000,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12726010,12726010,Pembangunan Saluran Top-Bottom 200/200 Gandar 15 ton ((JL. PETEMON III DAN JL. PETEMON V))),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1466010.0-1,PT. GANESHA JAYA,19235043503,16933363504.83,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12727010,12727010,Pembangunan Saluran U-Ditch 150/150 dengan Cover Gandar 10 ton (((JL. KRANGGAN-BALIWERTI))),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5262010.0-1,CV. CITRA MANDIRI SURYA,11547302197,9632371231,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12728010,12728010,"Pembangunan Saluran U-Ditch 200/200 dengan Cover, Gandar 10 ton (JL. KEBRAON V)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8514010.0-1,CV. SAMOKA,8460085082,7129201753,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12729010,12729010,"Pembangunan Saluran U-Ditch 200/200 dengan Cover, Gandar 10 ton ((JL. SIMO KWAGEAN)))",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1466010.0-1,PT. GANESHA JAYA,15924766025,13711913571.33,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12730010,12730010,Pembangunan Saluran Top-Bottom 200/200 Gandar 15 ton (JL. MANUKAN KASMAN I),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1466010.0-1,PT. GANESHA JAYA,17488054751.38,16598279166,IDR,2024-05-15,2024-06-05,open,works,complete
ocds-20h3g7-12733010,12733010,Bangunan Bertingkat 3 Lantai Keatas (SDN DR. SOETOMO V),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8190009.0-1,PT. JAVA COSMIC PERKASA,3046585000,2526557508.41,IDR,2024-05-15,2024-06-07,open,works,complete
ocds-20h3g7-12734010,12734010,Bangunan Bertingkat 3 Lantai Keatas (SDN RUNGKUT MENANGGAL II - LANJUTAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8941127.0-1,PT. ADY KARYA RAYA NUSANTARA,1551794000,1241435200,IDR,2024-05-15,2024-06-07,open,works,complete
ocds-20h3g7-12737010,12737010,Pembangunan Jalan Flexible Pavement Kolektor (JL. WIYUNG - LIDAH WETAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2049010.0-1,PT. SARANA MARGA PERKASA,33361429000,27619567914.91,IDR,2024-05-20,2024-06-05,open,works,complete
ocds-20h3g7-12738010,12738010,Kajian Lalu Lintas 1,Jasa Konsultansi Badan Usaha Non Konstruksi,D181,Pemerintah Daerah Kota Surabaya,2843021.0-1,CV. Multi Lisensi,195000000,164721780,IDR,2024-05-17,2024-06-28,open,services,complete
ocds-20h3g7-12741010,12741010,Bangunan Tidak Bertingkat (RUMAH POTONG UNGGAS KOTA SURABAYA),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,3729010.0-1,CV.Jehovah Jireh,7497780000,6672630755.8,IDR,2024-05-21,2024-06-20,open,works,complete
